pm25_truth_1h,pm25_predict_1h,predicted
47.45454545,49.702213,43.52752395
43.5,46.120834,40.890015
38.27272727,41.390057,43.08347186
36.7,34.761063,46.9193133
39.6,34.421753,42.24839296
37.54545455,39.884,39.77234385
41.45454545,36.29199,44.12679628
38.54545455,42.32668,42.54593455
40.45454545,36.805744,41.9138789
39.90909091,39.92289,46.00836348
38.63636364,39.062317,45.33863171
39.27272727,36.727314,42.80478804
44,38.045277,43.25728993
46.45454545,45.239876,47.72172487
49.72727273,47.30083,50.78170895
46.54545455,49.482143,50.45654262
49.09090909,45.477745,50.38199345
53.45454545,48.09601,55.00986884
61.36363636,53.364605,59.6850458
61.36363636,62.654118,63.35068166
66.81818182,60.817345,64.01380449
59.09090909,66.43819,60.4454949
49.27272727,54.954414,54.77879847
46.09090909,43.43433,48.83087775
50.45454545,42.823257,46.0530362
52.81818182,50.152332,53.42699127
61.18181818,53.3458,60.88360453
61.09090909,62.622196,59.88890516
45.09090909,60.686626,51.76724643
33.72727273,38.279144,41.82886318
35.54545455,28.339289,33.83400783
35.36363636,33.27799,34.23519031
36.90909091,35.240997,36.58895178
36.54545455,36.874752,36.60006735
38.36363636,35.712017,34.74552456
39.09090909,37.72222,32.3688242
38.27272727,38.521187,34.01138217
38.54545455,36.688976,39.27197056
44,37.074795,43.56113712
46.45454545,45.274166,46.3592333
49.45454545,47.338715,50.78162485
59.27272727,49.207905,56.9488036
64,60.76848,63.60553956
65.09090909,65.29979,66.30928313
65.18181818,64.3935,63.51737154
57.27272727,63.10338,56.96437397
53.90909091,51.479286,52.14477053
49.27272727,49.434944,47.0727041
44.90909091,46.636215,44.427573
42.81818182,42.717022,44.49453714
43.81818182,41.254597,45.46355154
46.81818182,44.099724,45.17282574
38.63636364,47.640526,42.48492665
33,35.154198,36.65973915
30.81818182,30.214785,31.96359881
29,29.173714,29.40896038
26.36363636,27.890089,28.03550662
24.36363636,25.30242,27.0782639
25.36363636,23.51325,26.1279573
25.72727273,24.367792,26.79092585
27.18181818,24.880793,28.97306719
29.63636364,26.387705,30.17593053
29,29.61355,30.38399506
32.45454545,28.535095,32.3052092
35.27272727,32.45462,35.51036679
37.09090909,35.591778,38.72522713
39.63636364,36.817337,41.63459289
46.45454545,39.978813,44.63053266
51.27272727,47.77,47.40174292
54.81818182,52.033276,49.56897321
55.09090909,54.75811,51.10183388
53.72727273,53.450745,53.27039943
59.09090909,51.16056,54.88112196
60.45454545,58.515278,56.2953813
62.27272727,59.926205,59.0212629
63.27272727,61.30339,62.07279065
64.27272727,61.990257,65.10061178
65,62.939285,67.53887487
65.72727273,63.66616,67.91697706
66.81818182,64.43266,64.33883266
54.63636364,65.475746,54.70325947
36.36363636,48.2693,40.98934656
27.63636364,29.270483,29.12636593
24.90909091,24.90454,22.457934
19.72727273,23.430962,19.59307812
15.72727273,19.72104,18.24049111
14.36363636,16.237534,17.23663937
13.54545455,15.035882,15.21515124
14.72727273,14.502894,11.81710806
